AAS1100;;;Introduction to Asian American Studies;;;3;;;Spring.;;;(CA-AS);;;;;;;;;What's in a name? For starters, the contemporary term "Asian Pacific American" has been taxed to hold together in a classificatory embrace a complex, diverse, and rapidly changing population of people of Asian/Pacific descent in the Americas. In this course, we'll track the ongoing adventures of this term "Asian Pacific American" and try to understand how the social and political twists and turns in meaning over the course of its historical journey come to shape individual and collective identities. This interdisciplinary course will introduce students to key ideas and issues in the study of Asian American histories, cultures, and racial formation including, for example, matters of migration, social/cultural/legal citizenship, social movements, and cultural politics. Materials will include films, literature, historical and sociological texts, and media and popular culture texts and productions.
AAS2100;;;South Asian Diaspora;;;4;;;Spring.;;;(CA-AS);;;;;;ANTHR2410;;;This interdisciplinary course (with an emphasis in anthropology) will introduce students to the multiple routes/roots, lived experiences, and imagined worlds of South Asians who have traveled to various lands at different historical moments spanning Fiji, South Africa, Mauritius, Britain, Malaysia, United States, Trinidad, and even within South Asia itself such as the Tamil-speaking population of Sri Lanka. The course will begin with the labor migrations of the 1830s and continue up to the present period. The primary exercise will be to compare and contrast the varied expressions of the South Asian Diaspora globally in order to critically evaluate this transnational identity. Thus, we will ask what, if any, are the ties that bind a fifth-generation Indo-Trinidadian whose ancestor came to the New World as an indentured laborer or "coolie" in the mid-19th century to labor in the cane fields, to a Pakistani medical doctor who migrated to the United States in the late 1980s. If Diaspora violates a sense of identity based on territorial integrity, then could "culture" serve as the basis for a shared identity?
AAS2130;;;Introduction to Asian American History;;;4;;;Fall.;;;(HA-AS);;;;;;AMST2640;HIST2640;;;An introductory history of Chinese, Japanese, Asian Indians, Filipinos, and Koreans in the United States from the mid-nineteenth century to the 1990s. Major themes include racism and resistance, labor migration, community formation, imperialism, and struggles for equality.
AAS2620;;;Introduction to Asian American Literature;;;4;;;Spring.;;;(LA-AS);;;;;;AMST2620;ENGL2620;;;This course will introduce both a variety of writings by Asian North American authors and some critical issues concerning the production and reception of Asian American texts. Working primarily with novels, we will be asking questions about the relation between literary forms and the socio-historical context within which they take on their meanings, and about the historical formation of Asian American identities.
AAS2800;;;Cultural Psychology;;;3;;;;;;;;;;;;HD2800;;;This course focuses on the cutting-edge research from the recently emerged, exciting field of cultural psychology. We discuss major theories and findings that integrate cultural perspectives into psychology, and consider methodological issues unique for studying the role of culture in psychological processes and functioning. Drawing on recent work in social psychology, developmental psychology, cognitive psychology, neuroscience, and cultural anthropology, we consicer a variety of topics (e.g., the self, motivation, morality, emotion, cognition, psychopathology, interpersonal relationships) from cultural perspectives.
AAS3030;;;Asians in the Americas: A Comparative Perspective;;;4;;;Fall.;;;(CA-AS);;;;;;AMST3703;ANTHR3703;;;The common perception of ethnicity is that it is a "natural" and an inevitable consequence of cultural difference. "Asians" overseas, in particular, have won repute as a people who cling tenaciously to their culture and refuse to assimilate into their host societies and cultures. But, who are the "Asians?" On what basis can we label "Asians" an ethnic group? Although there is a significant Asian presence in the Caribbean, the category "Asian" itself does not exist in the Caribbean. What does this say about the nature of categories that label and demarcate groups of people on the basis of alleged cultural and phenotypical characteristics? This course will examine the dynamics behind group identity, namely ethnicity, by comparing and contrasting the multicultural experience of Asian populations in the Caribbean and the United States. Ethnographic case studies will focus on the East Indian and Chinese experiences in the Caribbean and the Chinese, Korean, Japanese, Filipino, and Indian experiences in the United States.
AAS3470;;;Asian American Women's History;;;4;;;Fall.;;;(CA-AS);;;;;;AMST3470;FGSS3470;HIST3470;;;This course examines the experiences and representations of Asian American women from the mid-19th century to the present. It explores the lives and contexts of immigrant women and of women born in the U.S. Questions of identity and power are at the heart of this course as we investigate the intertwined nature of race, gender, and nation. We will also pay particular attention to the practice of history, seeking a better understanding of how scholars recover the history of a population rendered invisible by traditional methods and inquiries. Course materials include numerous primary sources in addition to scholarship from a variety of disciplines (history, literature, sociology, anthropology).
AAS3515;;;The Asian American Middle Class;;;4;;;;;;;;;;;;HIST3515;;;
AAS4080;;;Seminar in Dance Studies;;;4;;;;;;;;;;;;AMST4080;LSP4080;PMA4080;VISST4580;;;This seminar format course surveys the particular topic -- choreography -- with special attention to theories and practices of race and anti-racism. It introduces dance-based critical thinking, critical viewing, and research writing through written texts, recorded music and embodied performances mostly located in North America. Canonical and emergent dance research texts serve as principle lenses through which seminar discussions, presentations, and workshops, and writing will emerge. This specialized course takes students through a broad yet interconnected range of themes including racial formation and choreography theory, whiteness, Black dancing bodies, Latinidad, choreographing Asian America, and indigenous dance. Throughout the course students engage in interdisciplinary discussions on the racialized body, close readings of dance texts, and analyses of performances. Students will then be challenged to demonstrate their own original analyses through in-class activities, discussion, and a research paper.
AAS4950;;;Independent Study;;;1-4;;;Fall, spring.;;;;;;;;;;;;
